股票代號,股票名稱,年度,季度,資產總額(百萬元),負債總額(百萬元),權益總額(百萬元),每股參考淨值,單季EPS,單季營收(百萬元),單季毛利率(%),單季營業利益率(%),單季稅後純益率(%),營收年增率(%),每股盈餘年增率(%),ROE(%),ROE年增率(%),毛利率季增率(%),營業利益年增率(%),稅後純益年增率(%),負債佔資產比(%)
2443,億麗,108,3,2016.46,1210.56,805.9,5.38,-0.45999999999999996,137.91,-49.8,-79.0,-49.19,-67.4,51.580000000000005,-7.95,30.630000000000003,-382.56,-18.240000000000002,51.23,60.029999999999994
2444,兆勁,106,4,1551.36,346.68,1204.68,11.41,-0.07999999999999999,373.27,15.55,-0.37,-1.67,NA,NA,-0.52,NA,NA,NA,NA,22.35
2444,兆勁,107,1,1522.48,352.23,1170.26,11.09,-0.33,288.82,11.72,-11.63,-11.92,NA,NA,-2.9000000000000004,NA,-24.63,NA,NA,23.14
2444,兆勁,107,2,1376.21,339.04,1037.17,10.21,-0.08999999999999997,309.58,12.09,-6.84,-3.01,NA,NA,-0.84,NA,3.16,NA,NA,24.64
2444,兆勁,107,3,1299.74,271.63,1028.11,10.12,-0.15999999999999998,223.81,13.120000000000001,-4.04,-7.46,NA,NA,-1.6199999999999999,NA,8.52,NA,NA,20.9
2444,兆勁,107,4,1274.69,285.73,988.96,9.74,-0.38,385.86,2.78,-8.790000000000001,-10.01,3.37,-375.0,-3.83,-636.54,-78.81,-2355.8,-519.62,22.42
2444,兆勁,108,1,1342.91,386.1,956.82,9.42,-0.32,275.68,4.67,-11.94,-11.73,-4.55,3.0300000000000002,-3.32,-14.48,67.99,2.01,6.069999999999999,28.749999999999996
2444,兆勁,108,2,1610.22,677.84,932.38,9.18,-0.21000000000000002,352.58,7.489999999999999,-6.5600000000000005,-6.21,13.889999999999999,-133.32999999999998,-2.32,-176.19,60.39,-9.229999999999999,-134.97,42.1
2444,兆勁,108,3,1635.07,687.25,947.82,9.33,0.15000000000000002,451.7,14.12,4.16,3.54,101.82,193.75,1.7000000000000002,204.94,88.52,307.82,195.77,42.03
2448,晶電,106,4,66985.67,14001.76,52983.91,47.76,0.3700000000000001,5937.35,21.64,7.049999999999999,6.12,NA,NA,0.69,NA,NA,NA,NA,20.9
2448,晶電,107,1,66312.71,12399.17,53913.54,48.12,0.37,5147.86,17.22,2.47,7.340000000000001,NA,NA,0.7100000000000001,NA,-20.43,NA,NA,18.7
2448,晶電,107,2,66566.5,13760.8,52805.7,47.14,0.10999999999999999,5294.88,17.77,0.9900000000000001,2.09,NA,NA,0.21,NA,3.19,NA,NA,20.669999999999998
2448,晶電,107,3,64596.63,12589.93,52006.71,46.44,0.0,5647.59,18.35,2.23,0.18,NA,NA,0.02,NA,3.26,NA,NA,19.49
2448,晶電,107,4,62738.64,11830.73,50907.91,45.57,-0.8999999999999999,4216.08,-4.3999999999999995,-23.34,-23.82,-28.99,-343.24,-1.95,-382.60999999999996,-123.98,-335.09000000000003,-376.38,18.86
2448,晶電,108,1,62707.02,12444.33,50262.7,45.02,-1.03,3753.45,-11.28,-32.33,-30.11,-27.089999999999996,-378.38,-2.23,-414.08,-156.36,-1054.36,-399.1,19.85
2448,晶電,108,2,62307.55,12494.09,49813.45,44.18,-0.52,4027.44,2.34,-18.34,-14.790000000000001,-23.94,-572.73,-1.1900000000000002,-666.67,120.74000000000001,-1509.08,-638.26,20.05
2448,晶電,108,3,59845.32,11378.93,48466.39,43.05,-0.7899999999999998,4172.46,-1.05,-20.96,-22.18,-26.119999999999997,-inf,-1.8800000000000001,-9500.0,-144.87,-794.41,-9203.7,19.009999999999998
2449,京元電子,106,4,41158.24,16106.25,25051.99,20.53,0.34999999999999987,4802.62,25.96,13.43,8.959999999999999,NA,NA,1.7399999999999998,NA,NA,NA,NA,39.129999999999995
2449,京元電子,107,1,42377.2,16718.5,25658.69,20.98,0.29,4580.79,23.15,10.45,7.6,NA,NA,1.37,NA,-10.82,NA,NA,39.45
2449,京元電子,107,2,43607.54,19829.42,23778.12,19.44,0.3,5040.27,28.060000000000002,15.58,7.39,NA,NA,1.51,NA,21.21,NA,NA,45.47
2449,京元電子,107,3,43734.86,19433.35,24301.51,19.87,0.5300000000000001,5520.48,29.75,17.23,11.82,NA,NA,2.71,NA,6.02,NA,NA,44.43
2449,京元電子,107,4,47155.76,22635.91,24519.85,20.02,0.34999999999999987,5673.83,21.98,8.91,7.42,18.14,0.0,1.72,-1.15,-26.119999999999997,-21.62,-2.17,48.0
